Ticket_ID,Created_Date,Priority,Category,Resolution_Time_Hours,Customer_Satisfaction,Agent_ID
TKT_10001,2024-10-01,Low,Technical Issue,93.4,4.1,Agent_06
TKT_10002,2024-12-18,High,Technical Issue,3.7,3.0,Agent_04
TKT_10003,2024-12-26,Medium,Feature Request,31.1,3.3,Agent_01
TKT_10004,2024-12-20,Low,Feature Request,90.2,4.1,Agent_06
TKT_10005,2024-10-08,Medium,Bug Report,27.1,2.8,Agent_06
TKT_10006,2024-12-13,Medium,Account Access,19.5,3.6,Agent_02
TKT_10007,2024-10-04,Medium,Account Access,21.6,3.8,Agent_03
TKT_10008,2024-12-16,Low,Account Access,77.7,3.8,Agent_06
TKT_10009,2024-10-12,High,Feature Request,2.8,4.2,Agent_06
TKT_10010,2024-10-23,Medium,Technical Issue,42.4,3.6,Agent_01
TKT_10011,2024-11-26,High,Bug Report,5.2,2.9,Agent_08
TKT_10012,2024-11-13,Low,Feature Request,169.3,3.2,Agent_05
TKT_10013,2024-10-13,Low,Bug Report,86.8,3.6,Agent_03
TKT_10014,2024-11-19,High,Bug Report,2.9,3.9,Agent_01
TKT_10015,2024-11-12,High,Feature Request,2.5,3.8,Agent_02
TKT_10016,2024-11-09,Low,Technical Issue,180.5,3.3,Agent_05
TKT_10017,2024-10-26,Medium,Billing Question,16.7,4.4,Agent_05
TKT_10018,2024-12-25,Medium,Technical Issue,22.2,3.6,Agent_03
TKT_10019,2024-12-19,Low,Bug Report,55.4,4.1,Agent_02
TKT_10020,2024-11-10,High,Account Access,3.0,4.1,Agent_05
TKT_10021,2024-11-09,Medium,Bug Report,13.7,4.1,Agent_08
TKT_10022,2024-12-26,High,Technical Issue,1.7,4.5,Agent_07
TKT_10023,2024-10-23,Low,Bug Report,126.2,3.0,Agent_08
TKT_10024,2024-10-26,High,Bug Report,3.8,2.9,Agent_08
TKT_10025,2024-12-29,High,Feature Request,2.6,4.0,Agent_08
TKT_10026,2024-11-29,High,Feature Request,2.2,4.1,Agent_04
TKT_10027,2024-11-03,Medium,Account Access,24.5,3.9,Agent_03
TKT_10028,2024-10-04,Medium,Technical Issue,19.2,3.7,Agent_02
TKT_10029,2024-10-22,Medium,Account Access,20.2,3.8,Agent_03
TKT_10030,2024-10-14,Medium,Technical Issue,27.6,3.1,Agent_08
TKT_10031,2024-12-19,Low,Billing Question,92.2,3.8,Agent_03
TKT_10032,2024-11-13,Low,Billing Question,59.1,4.0,Agent_07
TKT_10033,2024-11-13,Low,Bug Report,80.1,4.0,Agent_04
TKT_10034,2024-12-13,High,Feature Request,2.6,3.7,Agent_08
TKT_10035,2024-11-26,Medium,Billing Question,5.7,4.3,Agent_07
TKT_10036,2024-11-18,Medium,Account Access,9.6,4.8,Agent_01
TKT_10037,2024-12-14,High,Technical Issue,4.4,2.9,Agent_03
TKT_10038,2024-12-18,Medium,Bug Report,21.2,4.1,Agent_04
TKT_10039,2024-11-08,Low,Bug Report,206.0,3.7,Agent_05
TKT_10040,2024-11-14,Low,Technical Issue,145.4,3.4,Agent_01
TKT_10041,2024-10-17,High,Account Access,2.9,4.2,Agent_06
TKT_10042,2024-10-01,Medium,Bug Report,29.2,3.1,Agent_02
TKT_10043,2024-10-31,Low,Feature Request,102.1,4.2,Agent_07
TKT_10044,2024-11-21,Medium,Feature Request,34.7,3.1,Agent_04
TKT_10045,2024-10-25,Medium,Bug Report,35.3,2.9,Agent_06
TKT_10046,2024-12-25,High,Billing Question,0.9,4.4,Agent_01
TKT_10047,2024-10-18,High,Technical Issue,4.9,3.5,Agent_07
TKT_10048,2024-12-29,Medium,Bug Report,30.9,3.0,Agent_03
TKT_10049,2024-11-27,Medium,Feature Request,18.9,4.0,Agent_04
TKT_10050,2024-12-13,Low,Feature Request,145.3,3.0,Agent_04
TKT_10051,2024-10-05,Low,Technical Issue,153.2,2.9,Agent_08
TKT_10052,2024-12-01,High,Technical Issue,4.8,3.2,Agent_05
TKT_10053,2024-12-18,High,Technical Issue,4.6,3.2,Agent_08
TKT_10054,2024-12-25,Low,Technical Issue,175.9,3.7,Agent_05
TKT_10055,2024-12-08,Medium,Technical Issue,31.5,3.1,Agent_08
TKT_10056,2024-11-12,Medium,Feature Request,24.6,4.0,Agent_05
TKT_10057,2024-12-12,High,Account Access,2.4,4.0,Agent_08
TKT_10058,2024-12-24,Low,Account Access,54.1,4.4,Agent_01
TKT_10059,2024-12-04,Medium,Technical Issue,22.8,4.1,Agent_05
TKT_10060,2024-11-02,Low,Technical Issue,103.4,4.0,Agent_02
TKT_10061,2024-10-20,Medium,Feature Request,21.9,4.0,Agent_03
TKT_10062,2024-12-02,High,Bug Report,5.0,3.4,Agent_06
TKT_10063,2024-10-20,Medium,Feature Request,15.7,4.0,Agent_07
TKT_10064,2024-12-21,High,Billing Question,0.7,4.3,Agent_06
TKT_10065,2024-10-15,High,Technical Issue,3.5,3.0,Agent_08
TKT_10066,2024-12-08,Medium,Billing Question,10.9,4.3,Agent_07
TKT_10067,2024-11-25,Medium,Feature Request,35.9,3.2,Agent_06
TKT_10068,2024-10-06,Low,Technical Issue,172.6,3.1,Agent_06
TKT_10069,2024-11-12,Medium,Account Access,9.2,4.3,Agent_02
TKT_10070,2024-11-29,Low,Billing Question,59.9,4.0,Agent_04
TKT_10071,2024-10-24,Low,Account Access,85.1,4.3,Agent_01
TKT_10072,2024-10-02,High,Feature Request,3.0,3.6,Agent_02
TKT_10073,2024-11-06,High,Account Access,1.1,4.4,Agent_01
TKT_10074,2024-10-28,Low,Bug Report,102.5,3.5,Agent_02
TKT_10075,2024-12-17,Medium,Billing Question,21.7,4.0,Agent_03
TKT_10076,2024-11-02,Medium,Account Access,14.8,4.0,Agent_02
TKT_10077,2024-11-05,Low,Feature Request,68.4,4.1,Agent_06
TKT_10078,2024-11-05,Medium,Technical Issue,21.9,3.8,Agent_07
TKT_10079,2024-11-03,Medium,Billing Question,9.5,4.5,Agent_02
TKT_10080,2024-12-18,High,Feature Request,1.8,4.5,Agent_08
TKT_10081,2024-11-25,Medium,Technical Issue,21.5,4.0,Agent_05
TKT_10082,2024-12-13,Medium,Account Access,25.8,3.9,Agent_01
TKT_10083,2024-12-21,High,Technical Issue,2.5,4.2,Agent_07
TKT_10084,2024-11-20,High,Bug Report,3.5,3.1,Agent_08
TKT_10085,2024-10-09,High,Bug Report,3.2,4.3,Agent_01
TKT_10086,2024-12-01,Low,Technical Issue,92.4,3.8,Agent_06
TKT_10087,2024-10-08,Medium,Technical Issue,15.0,3.9,Agent_06
TKT_10088,2024-11-07,High,Billing Question,2.6,4.2,Agent_01
TKT_10089,2024-11-08,High,Feature Request,3.0,4.1,Agent_06
TKT_10090,2024-11-26,High,Billing Question,1.1,4.8,Agent_01
TKT_10091,2024-12-15,Medium,Billing Question,5.7,4.6,Agent_07
TKT_10092,2024-11-09,Low,Feature Request,157.3,2.8,Agent_08
TKT_10093,2024-11-13,Medium,Technical Issue,28.8,3.2,Agent_01
TKT_10094,2024-11-28,High,Bug Report,6.0,2.8,Agent_04
TKT_10095,2024-10-19,Low,Feature Request,103.4,4.4,Agent_01
TKT_10096,2024-10-06,Low,Billing Question,27.1,4.4,Agent_03
TKT_10097,2024-11-09,Medium,Technical Issue,50.0,2.8,Agent_03
TKT_10098,2024-10-14,Low,Bug Report,64.3,3.7,Agent_04
TKT_10099,2024-11-13,Medium,Feature Request,29.4,3.0,Agent_02
TKT_10100,2024-10-18,High,Account Access,2.5,4.0,Agent_01
TKT_10101,2024-10-16,High,Account Access,1.2,4.5,Agent_07
TKT_10102,2024-10-22,High,Feature Request,2.0,4.3,Agent_01
TKT_10103,2024-12-20,Medium,Bug Report,14.7,3.8,Agent_03
TKT_10104,2024-10-01,High,Technical Issue,3.6,3.0,Agent_02
TKT_10105,2024-11-06,Low,Feature Request,125.4,3.0,Agent_08
TKT_10106,2024-12-21,Low,Account Access,61.8,4.2,Agent_08
TKT_10107,2024-12-18,Low,Technical Issue,180.8,3.1,Agent_03
TKT_10108,2024-10-12,Medium,Account Access,6.6,4.4,Agent_07
TKT_10109,2024-10-16,High,Bug Report,4.6,3.4,Agent_06
TKT_10110,2024-12-04,Medium,Billing Question,10.9,4.2,Agent_04
TKT_10111,2024-10-20,Medium,Feature Request,18.5,4.1,Agent_03
TKT_10112,2024-11-06,Medium,Billing Question,13.1,4.9,Agent_05
TKT_10113,2024-11-28,High,Technical Issue,6.1,3.2,Agent_01
TKT_10114,2024-10-04,Low,Feature Request,39.4,4.0,Agent_02
TKT_10115,2024-11-26,Low,Bug Report,92.7,4.1,Agent_06
TKT_10116,2024-11-11,Medium,Technical Issue,19.3,4.0,Agent_04
TKT_10117,2024-10-26,High,Feature Request,2.4,3.7,Agent_02
TKT_10118,2024-11-25,Medium,Bug Report,28.4,2.8,Agent_03
TKT_10119,2024-10-25,Medium,Account Access,15.9,3.6,Agent_04
TKT_10120,2024-12-12,Medium,Technical Issue,20.3,3.8,Agent_03
TKT_10121,2024-11-23,Medium,Billing Question,21.1,4.0,Agent_04
TKT_10122,2024-12-21,High,Bug Report,2.2,4.1,Agent_04
TKT_10123,2024-10-28,Medium,Bug Report,20.9,4.1,Agent_08
TKT_10124,2024-11-01,Medium,Billing Question,12.2,4.8,Agent_07
TKT_10125,2024-12-15,Low,Billing Question,48.5,4.4,Agent_01
TKT_10126,2024-11-30,High,Bug Report,3.2,4.0,Agent_07
TKT_10127,2024-12-29,Medium,Technical Issue,22.0,4.0,Agent_08
TKT_10128,2024-10-02,High,Feature Request,3.2,3.7,Agent_03
TKT_10129,2024-10-12,Medium,Technical Issue,24.1,4.2,Agent_05
TKT_10130,2024-12-13,High,Bug Report,3.4,3.7,Agent_08
TKT_10131,2024-11-17,Low,Feature Request,150.4,3.1,Agent_01
TKT_10132,2024-12-28,Low,Account Access,54.8,4.8,Agent_01
TKT_10133,2024-12-29,Low,Bug Report,168.3,2.8,Agent_04
TKT_10134,2024-11-12,Low,Technical Issue,163.8,2.9,Agent_06
TKT_10135,2024-11-16,Low,Feature Request,90.6,4.0,Agent_01
TKT_10136,2024-12-11,Low,Technical Issue,83.7,3.8,Agent_04
TKT_10137,2024-12-09,Low,Feature Request,150.8,3.3,Agent_04
TKT_10138,2024-11-11,Low,Account Access,44.6,4.3,Agent_07
TKT_10139,2024-11-14,Medium,Feature Request,18.5,3.7,Agent_02
TKT_10140,2024-12-08,Medium,Account Access,21.0,4.2,Agent_06
TKT_10141,2024-10-09,Medium,Billing Question,5.0,4.4,Agent_02
TKT_10142,2024-11-06,High,Technical Issue,3.5,3.2,Agent_03
TKT_10143,2024-12-03,High,Billing Question,1.3,4.9,Agent_01
TKT_10144,2024-11-30,Medium,Account Access,21.8,3.6,Agent_08
TKT_10145,2024-10-25,High,Technical Issue,6.2,3.1,Agent_04
TKT_10146,2024-11-12,Low,Feature Request,110.8,3.3,Agent_06
TKT_10147,2024-12-29,Low,Bug Report,106.2,4.0,Agent_08
TKT_10148,2024-11-09,Medium,Billing Question,14.4,4.7,Agent_04
TKT_10149,2024-10-07,Medium,Account Access,22.7,3.6,Agent_03
TKT_10150,2024-12-08,High,Account Access,3.5,3.2,Agent_03
TKT_10151,2024-12-25,High,Billing Question,1.1,4.7,Agent_04
