policy_id,product_type,region,client_age,risk_score,start_date,end_date,duration_months,premium
P000001,Auto,West,67,32.34,2022-08-02,2023-07-28,12,782.53
P000002,Home,South,30,73.44,2019-08-17,2020-08-11,12,1823.63
P000003,Life,Central,70,63.33,2019-02-21,2020-02-16,12,709.73
P000004,Auto,East,41,75.96,2020-07-17,2021-07-12,12,1184.66
P000005,Life,East,67,58.1,2020-05-16,2020-11-12,6,356.26
P000006,Auto,East,44,43.55,2020-04-02,2020-09-29,6,510.9
P000007,Life,North,50,69.85,2019-10-13,2020-04-10,6,355.34
P000008,Life,North,44,49.5,2019-07-29,2020-07-23,12,700.85
P000009,Auto,East,37,53.31,2022-10-17,2023-10-12,12,1051.52
P000010,Home,West,40,49.36,2022-01-21,2023-01-16,12,1524.36
P000011,Auto,West,65,5.8,2019-06-28,2019-12-25,6,194.9
P000012,Life,North,18,74.07,2022-04-24,2023-04-19,12,659.95
P000013,Home,East,26,57.37,2021-05-14,2022-05-09,12,1656.19
P000014,Home,West,34,54.95,2019-03-07,2019-09-03,6,857.3
P000015,Auto,North,28,49.07,2019-03-03,2019-08-30,6,461.23
P000016,Auto,East,67,52.45,2019-07-11,2020-01-07,6,600.66
P000017,Auto,South,63,41.04,2020-03-23,2021-03-18,12,958.07
P000018,Auto,East,53,59.25,2020-04-21,2021-04-16,12,1010.08
P000019,Home,East,35,30.39,2021-10-31,2022-10-26,12,1150.56
P000020,Life,Central,65,52.79,2022-05-17,2022-11-13,6,402.96
P000021,Home,Central,21,58.42,2019-02-24,2020-02-19,12,1446.34
P000022,Home,South,77,47.02,2022-02-23,2022-08-22,6,761.38
P000023,Health,South,34,55.56,2020-02-12,2020-08-10,6,1290.37
P000024,Life,East,41,35.13,2022-08-23,2023-08-18,12,549.77
P000025,Health,West,38,35.51,2022-12-07,2023-12-02,12,2327.03
P000026,Home,South,28,53.55,2022-01-21,2023-01-16,12,1503.5
P000027,Auto,East,73,60.18,2021-05-09,2021-11-05,6,623.86
P000028,Auto,North,56,21.88,2020-03-27,2021-03-22,12,809.73
P000029,Life,Central,63,57.83,2021-07-08,2022-07-03,12,688.26
P000030,Auto,West,26,41.85,2022-04-21,2022-10-18,6,486.51
P000031,Auto,East,47,47.11,2020-07-23,2021-07-18,12,908.32
P000032,Home,North,52,29.91,2019-01-14,2019-07-13,6,570.29
P000033,Home,Central,49,37.23,2019-11-23,2020-05-21,6,623.85
P000034,Home,North,27,64.49,2022-11-30,2023-11-25,12,1901.15
P000035,Auto,East,61,50.49,2021-05-15,2022-05-10,12,1127.06
P000036,Auto,South,46,44.26,2020-11-27,2021-11-22,12,920.91
P000037,Home,Central,30,48.25,2020-07-23,2021-07-18,12,1693.71
P000038,Health,North,18,57.34,2019-11-15,2020-05-13,6,1568.2
P000039,Life,South,54,56.61,2020-03-16,2021-03-11,12,731.7
P000040,Health,West,81,48.87,2020-11-20,2021-11-15,12,2338.84
P000041,Life,East,29,66.39,2019-07-29,2020-01-25,6,351.08
P000042,Home,East,47,64.56,2019-07-09,2020-07-03,12,1618.93
P000043,Auto,Central,61,56.2,2021-02-17,2021-08-16,6,588.19
P000044,Home,North,25,50.82,2019-07-18,2020-07-12,12,1331.21
P000045,Home,West,37,59.86,2021-01-05,2021-07-04,6,895.51
P000046,Home,Central,32,54.71,2020-12-05,2021-11-30,12,1413.45
P000047,Home,Central,59,65.91,2022-05-21,2023-05-16,12,1933.5
P000048,Home,North,64,63.49,2020-06-25,2021-06-20,12,1745.82
P000049,Auto,West,47,34.73,2019-03-30,2020-03-24,12,925.69
P000050,Home,North,32,33.71,2021-07-29,2022-01-25,6,672.26
P000051,Auto,East,38,39.48,2022-01-03,2022-12-29,12,999.15
P000052,Life,South,35,64.64,2019-09-13,2020-09-07,12,842.14
P000053,Auto,East,30,26.36,2021-02-14,2022-02-09,12,726.61
P000054,Auto,East,43,55.92,2019-06-11,2020-06-05,12,946.93
P000055,Home,Central,53,55.44,2022-02-04,2023-01-30,12,1429.74
P000056,Home,East,52,67.44,2020-08-23,2021-08-18,12,1435.38
P000057,Home,West,44,52.71,2022-07-11,2023-01-07,6,690.47
P000058,Auto,East,45,29.85,2022-06-20,2022-12-17,6,381.71
P000059,Home,West,43,35.61,2021-01-10,2021-07-09,6,585.76
P000060,Auto,North,25,32.27,2022-03-28,2023-03-23,12,773.06
P000061,Health,Central,47,41.93,2020-01-29,2021-01-23,12,2369.15
P000062,Health,West,36,47.26,2022-12-13,2023-06-11,6,1172.14
P000063,Home,East,24,32.52,2019-05-23,2020-05-17,12,1052.38
P000064,Auto,Central,50,72.06,2019-04-04,2020-03-29,12,1257.99
